id,secu_code,market_code,entry_index,strategy_type,strategy_item,strategy_code,strategy_name,strategy_version,entry_price,entry_time,status
﻿0e3d25df2f5d481290,03690,2,9,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,176.8,2020-06-23,0
﻿0c883a129a4d4051b8,09996,2,0,SHAPEX,2,changxiaying,长下影,rc20200615,31.6,2020-06-23,0
﻿8d393ff6787741bb9e,01299,2,1,SHAPEX,2,changxiaying,长下影,rc20200615,74.9,2020-06-23,0
﻿5c0fa66a042d4e4fbc,01308,2,2,SHAPEX,2,changxiaying,长下影,rc20200615,8.03,2020-06-23,0
﻿451c9469f376466688,01877,2,3,SHAPEX,2,changxiaying,长下影,rc20200615,58.3,2020-06-23,0
﻿326b44a42f954e16bc,00973,2,4,SHAPEX,2,changxiaying,长下影,rc20200615,13.26,2020-06-23,0
﻿9ed2a59bdbbb4a79bf,06158,2,5,SHAPEX,2,changxiaying,长下影,rc20200615,4.9,2020-06-23,0
﻿0bd428d32b0a45168d,00148,2,6,SHAPEX,2,changxiaying,长下影,rc20200615,21.6,2020-06-23,0
﻿27683c65e61a4226bb,01910,2,7,SHAPEX,2,changxiaying,长下影,rc20200615,8.08,2020-06-23,0
﻿f628d20661774420be,00780,2,8,SHAPEX,2,changxiaying,长下影,rc20200615,13.96,2020-06-23,0
﻿f5f460c6bd3148a989,01566,2,9,SHAPEX,2,changxiaying,长下影,rc20200615,2.16,2020-06-23,0
﻿19e96824847e4b7c9f,01636,2,0,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,0.29,2020-06-23,0
﻿c46ea9045327488e80,00999,2,1,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,1.17,2020-06-23,0
﻿7c696061ebcc41318b,00708,2,2,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,11.02,2020-06-23,0
﻿68fb4846bb5144788e,00082,2,3,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,0.23,2020-06-23,0
﻿42c60338980947238b,00579,2,4,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,1.59,2020-06-23,0
﻿c766c66e485344e0b6,01753,2,5,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,3.5,2020-06-23,0
﻿65dcf659a6944f5a96,01798,2,6,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,0.9,2020-06-23,0
﻿c6b28f1866514a9890,03309,2,7,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,6.13,2020-06-23,0
﻿fbf43abebae84bc99c,00127,2,8,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,5.35,2020-06-23,0
﻿21d2a849713b431d9c,01569,2,9,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,1.12,2020-06-23,0
﻿84ce299b7e044a8c87,01269,2,0,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,0.22,2020-06-23,0
﻿8c562d141c894da4bd,08619,2,1,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,1.8,2020-06-23,0
﻿cb24c8753d064865ae,03389,2,2,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,0.32,2020-06-23,0
﻿0e255e9429624399b9,02768,2,3,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,3.11,2020-06-23,0
﻿6fd512c61fae489b8a,01830,2,4,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,2.54,2020-06-23,0
﻿e50f01f9f31949afa0,06118,2,5,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,4.78,2020-06-23,0
﻿337a45b4ab764a9db7,00345,2,6,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,31.75,2020-06-23,0
﻿a17ab674016f400e80,06098,2,7,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,37.05,2020-06-23,0
﻿c7d1b7cd0fe34f3a9d,00242,2,0,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,3.13,2020-06-23,0
﻿62c89201399641d499,03608,2,1,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,2.18,2020-06-23,0
﻿3c549c4e3d024b9f9e,03908,2,2,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,15.2,2020-06-23,0
﻿2a105f13a581476798,06100,2,3,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,19.36,2020-06-23,0
﻿3785f55fae484136b4,01589,2,4,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,3.27,2020-06-23,0
﻿0a15564b71b94173b6,06166,2,5,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,3.18,2020-06-23,0
﻿bb3541ca6c144d9ca0,00286,2,6,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,0.57,2020-06-23,0
﻿c01364de471b475699,01763,2,7,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,21.75,2020-06-23,0
﻿a32f15a4926c45fa83,03333,2,8,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,19.88,2020-06-23,0
﻿30294a1d0ce84dc386,06088,2,9,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,3.06,2020-06-23,0
﻿456c2361ffe142558a,00968,2,0,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,7.0,2020-06-23,0
